Chapter Code,H.S.Code,HS 4-digit Code,HS 4-digit Description,HS 6-digit Code,HS 6-digit Description,Statistical Code,Full 9-digit Code,Description,Row Index
01,0106.32,0106,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",000,010632000,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",72
01,0106.33,0106,"Ostriches; emus (Dromaius novaehollandiae)",010633,"Ostriches; emus (Dromaius novaehollandiae)",000,010633000,"Ostriches; emus (Dromaius novaehollandiae)",73
01,0106.39,0106,"Other",010639,"Other",000,010639000,"Other",74
01,0106.41,0106,"Bees",010641,"Bees",000,010641000,"Bees",76
01,0106.49,0106,"Other",010649,"Other",000,010649000,"Other",77
01,0106.90,0106,"Other",010690,"Other",011,010690011,"-- Anura",80
01,0106.90,0106,"Other",010690,"Other",012,010690012,"-- Caudata",81
01,0106.90,0106,"Other",010690,"Other",019,010690019,"-- Other",82
01,0106.90,0106,"Other",010690,"Other",090,010690090,"- Other",83
02,0201.10,0201,"Carcasses and half-carcasses",020110,"Carcasses and half-carcasses",000,020110000,"Carcasses and half-carcasses",4
02,0201.20,0201,"Other cuts with bone in",020120,"Other cuts with bone in",000,020120000,"Other cuts with bone in",5
02,0201.30,0201,"Boneless",020130,"Boneless",010,020130010,"- Loin",7
02,0201.30,0201,"Boneless",020130,"Boneless",020,020130020,"- Chuck, Clod and Round",8
02,0201.30,0201,"Boneless",020130,"Boneless",030,020130030,"- Brisket and plate",9
02,0201.30,0201,"Boneless",020130,"Boneless",090,020130090,"- Other",10
02,0202.10,0202,"Carcasses and half-carcasses",020210,"Carcasses and half-carcasses",000,020210000,"Carcasses and half-carcasses",12
02,0202.20,0202,"Other cuts with bone in",020220,"Other cuts with bone in",000,020220000,"Other cuts with bone in",13
02,0202.30,0202,"Boneless",020230,"Boneless",010,020230010,"- Loin",15
02,0202.30,0202,"Boneless",020230,"Boneless",020,020230020,"- Chuck, Clod and Round",16
02,0202.30,0202,"Boneless",020230,"Boneless",030,020230030,"- Brisket and plate",17
02,0202.30,0202,"Boneless",020230,"Boneless",090,020230090,"- Other",18
02,0203.11,0203,"Carcasses and half-carcasses",020311,"Carcasses and half-carcasses",010,020311010,"1 Of wild boars",22
02,0203.11,0203,"Carcasses and half-carcasses",020311,"Carcasses and half-carcasses",020,020311020,"*�k1�lEach kilogram, in value for customs duty, not more than the upper limit prices for the specific  duty applied on pig carcass, where the upper limit prices shall be obtained by substracting Prices B from Prices A, the same definition shall be applied in this heading.
Prices A, standard import prices for pig carcass specified by the sub-paragraph 1 of paragraph 2 of Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading.
Prices B, the prices specified by *�k1�l in this sub-heading each corresponding to the period of importation provided by the Annex 1-3 to the Law",24
02,0203.11,0203,"Carcasses and half-carcasses",020311,"Carcasses and half-carcasses",031,020311031,"- Less than 299.25 yen/kg in value for customs duty",26
02,0203.11,0203,"Carcasses and half-carcasses",020311,"Carcasses and half-carcasses",032,020311032,"- Not less than 299.25 yen/kg in value for customs duty",27
02,0203.11,0203,"Carcasses and half-carcasses",020311,"Carcasses and half-carcasses",040,020311040,"*�k3�lEach kilogram, more than the gate prices of pig carcass, in value for customs duty",28
02,0203.12,0203,"Hams, shoulders and cuts thereof, with bone in",020312,"Hams, shoulders and cuts thereof, with bone in",010,020312010,"1 Of wild boars",30
02,0203.12,0203,"Hams, shoulders and cuts thereof, with bone in",020312,"Hams, shoulders and cuts thereof, with bone in",023,020312023,"*�k1�lEach kilogram, in value for customs duty, not more than the upper limit prices for the specific duty applied on  partial pig, where the upper limit prices shall be obtained by substracting Prices B from Prices A, the same definition shall be applied in this heading and in heading 02.06.
Prices A, standard import prices for partial pig specified by the sub-paragraph 1 of paragraph 3 of Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading and in heading 02.06.
Prices B, the prices specified by *�k1�l in this sub-heading each corresponding to the period of importation provided by the Annex 1-3 to the Law",32
02,0203.12,0203,"Hams, shoulders and cuts thereof, with bone in",020312,"Hams, shoulders and cuts thereof, with bone in",024,020312024,"- Less than 399 yen/kg in value for customs duty",34
02,0203.12,0203,"Hams, shoulders and cuts thereof, with bone in",020312,"Hams, shoulders and cuts thereof, with bone in",025,020312025,"- Not less than 399 yen/kg in value for customs duty",35
02,0203.12,0203,"Hams, shoulders and cuts thereof, with bone in",020312,"Hams, shoulders and cuts thereof, with bone in",022,020312022,"*�k3�lEach kilogram, more than the gate prices of partial pig, in value for customs duty",36
02,0203.19,0203,"Other",020319,"Other",010,020319010,"1 Of wild boars",38
02,0203.19,0203,"Other",020319,"Other",023,020319023,"*�k1�lEach kilogram, not more than the upper limit prices for the specific duty applied on  partial pig, in value for customs duty",40
02,0203.19,0203,"Other",020319,"Other",024,020319024,"- Less than 399 yen/kg in value for customs duty",42
02,0203.19,0203,"Other",020319,"Other",025,020319025,"- Not less than 399 yen/kg in value for customs duty",43
02,0203.19,0203,"Other",020319,"Other",022,020319022,"*�k3�lEach kilogram, more than the gate prices of partial pig, in value for customs duty",44
02,0203.21,0203,"Carcasses and half-carcasses",020321,"Carcasses and half-carcasses",010,020321010,"1 Of wild boars",47
02,0203.21,0203,"Carcasses and half-carcasses",020321,"Carcasses and half-carcasses",020,020321020,"*�k1�lEach kilogram, not more than the upper limit prices for the specific duty applied on pig carcass, in value for customs duty",49
02,0203.21,0203,"Carcasses and half-carcasses",020321,"Carcasses and half-carcasses",031,020321031,"- Less than 299.25 yen/kg in value for customs duty",51
02,0203.21,0203,"Carcasses and half-carcasses",020321,"Carcasses and half-carcasses",032,020321032,"- Not less than 299.25 yen/kg in value for customs duty",52
02,0203.21,0203,"Carcasses and half-carcasses",020321,"Carcasses and half-carcasses",040,020321040,"*�k3�lEach kilogram, more than the gate prices of pig carcass, in value for customs duty",53
02,0203.22,0203,"Hams, shoulders and cuts thereof, with bone in",020322,"Hams, shoulders and cuts thereof, with bone in",010,020322010,"1 Of wild boars",55
