"agName","agCode","faoCode","faoKName","value","unit","groupCode"
"소원피",25211,"0957","버팔로 원피(생것)",0,"t","2"
"소원피",25211,"0919","소원피(생것)",1175959.38,"t","2"
,,"1025",,1728.18,"t","u"
"면양원피",25214,"0995","면양원피(생것)",6572.23,"t","2"
"생우유",24101,"0882","소의 생우유",102721557,"t","2"
"생우유",24101,"1020","염소의 생우유",25760.15,"t","2"
"쌀",11101,"0027","쌀",7274170,"t","1"
"호밀",11104,"0071","호밀",312460,"t","1"
"잇꽃씨",11515,"0280","잇꽃씨",74410,"t","1"
"면",17201,"0328","실면(조면되지않은)",8468690.57,"t","1"
"참깨",11513,"0289","참깨",0,"t","1"
"면양, 산양의 지방",23119,"0979","양 지방",1577.34,"t","2"
"양모",25141,"0987","깎은 양모(플리스와시한(fleece-washed) 양모를 포함)(그리지한(greasy))",10081,"t","2"
"수수",11107,"0083","수수",4769960,"t","1"
"버찌",11608,"0530","신 체리",110770,"t","1"
"대두",11301,"0236","대두",116377000,"t","1"
"시금치",12113,"0373","시금치",382356,"t","1"
"딸기",12136,"0544","딸기",1261890,"t","1"
"비그나파세러스콩",11319,"0423","스트링콩",646882,"t","1"
"사탕무",11921,"0157","사탕무",29550640,"t","1"
"사탕수수",11922,"0156","사탕수수",31456630,"t","1"
"해바라기씨",11505,"0267","해바라기씨",1275750,"t","1"
"고구마",11202,"0122","고구마",1176483,"t","1"
"감귤",11642,"0495","귤, 만다린, 클레멘타인",664060,"t","1"
"토란",11260,"0136","토란",1290.91,"t","1"
"토마토",12131,"0388","토마토",10199753,"t","1"
"대마",17221,"0777","대마(생대마, 침지대마)",9539,"t","1"
"기타채유종실",11599,"0275","유동",0,"t","1"
"잎담배",15401,"0826","잎담배",202920,"t","1"
"호도",33303,"0222","호두(껍데기를 벗기지 않은 것)",682200,"t","3"
"수박",12137,"0567","수박",1493181,"t","1"
"밀",11103,"0015","밀",44902320,"t","1"
