"agName","agCode","faoCode","faoKName","value","unit","groupCode"
"양배추",12102,"0358","양배추",,,"1"
"참외",12139,"0568","칸타루페 및 기타 멜론류",,,"1"
"당근",12123,"0426","당근과 순무",,,"1"
"고추",12161,"0401","고추(신선)",,,"1"
"오리고기",22202,1068,"오리",,,"2"
"루플린",11902,"0677","호프",,,"1"
"결구상치",12112,"0372","양상추와 치커리",,,"1"
"맹고",11626,"0571","망고, 구아바 및 망고스틴",,,"1"
"쪽파",12143,"0403","양파와 샬롯(건조)",,,"1"
"크렌베리",11612,"0558","기타 박시니엄속의 베리류와 과실",,,"1"
"감(임산물)",33311,"0619","기타 과실",,,"3"
"은행",33307,"0234","다른 견과류(껍데기를 벗기지 않은 것), 야생 식용 견과류 및 땅콩 제외",,,"3"
"무",12121,"0463","기타 채소(신선)",,,"1"
"슬로우",11606,"0536","자두와 슬로",,,"1"
"맨더린류",11643,"0495","귤, 만다린, 클레멘타인",,,"1"
"잎담배부산물",15402,"0826","잎담배",,,"1"
